Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Abuse Type,Occurences,County Primary Point,US Counties,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),Iowa ZIP Code Tabulation Areas
2017,19183,Washington,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,15,"(41.335591, -91.7178676)",302,140,13,614
2017,19057,Des Moines,3-Eastern     ,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),52,"(40.9231829, -91.1814707)",1778,115,10,411
2017,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,26,"(41.0317596, -91.9488774)",285,147,13,326
2017,19195,Worth,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),24,"(43.3773984, -93.2608476)",303,193,15,625
2017,19021,Buena Vista,1-Western     ,3-Third JD,Dangerous Substance,19,"(42.7354936, -95.151149)",178,323,27,15
2017,19197,Wright,2-Northern    ,2-Second JD,Dangerous Substance,18,"(42.7331189, -93.7351465)",304,320,26,626
2017,19093,Ida,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),6,"(42.3868747, -95.5134962)",1789,230,39,746
2017,19085,Harrison,1-Western     ,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),3,"(41.6828528, -95.8169209)",1787,243,41,569
2017,19191,Winneshiek,2-Northern    ,1-First JD,Denial of Critical Care (Neglect),26,"(43.2906746, -91.8437074)",1890,41,4,855
2017,19107,Keokuk,4-Cedar Rapids,8-Eigth JD,Mental Injury,1,"(41.336465, -92.1786426)",1793,139,12,334
2017,19145,Page,1-Western     ,4-FourthJD,Physical Abuse,10,"(40.7391444, -95.1501747)",1837,463,46,598
2017,19057,Des Moines,3-Eastern     ,8-Eigth JD,Physical Abuse,21,"(40.9231829, -91.1814707)",1778,115,10,411
2017,19135,Monroe,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),1,"(41.0297826, -92.8689877)",292,359,30,556
2017,19191,Winneshiek,2-Northern    ,1-First JD,Physical Abuse,3,"(43.2906746, -91.8437074)",1890,41,4,855
2017,19099,Jasper,4-Cedar Rapids,5-FifthJD,Allows Access by Registered Sex Offender,13,"(41.6860394, -93.053765)",1791,132,11,903
2017,19011,Benton,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),51,"(42.0801864, -92.0656912)",1367,248,18,804
2017,19015,Boone,5-Des Moines  ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,"(42.0365493, -93.931671)",1368,313,25,859
2017,19075,Grundy,2-Northern    ,1-First JD,Physical Abuse,4,"(42.4018651, -92.7914177)",280,239,18,49
2017,19163,Scott,3-Eastern     ,7-Seventh JD,Physical Abuse,129,"(41.6370978, -90.6232428)",1881,100,9,99
2017,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),140,"(41.0305845, -92.4094499)",301,363,30,799
2017,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,5,"(41.6864422, -92.5314684)",296,289,22,605
2017,19197,Wright,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),19,"(42.7331189, -93.7351465)",304,320,26,626
2017,19061,Dubuque,3-Eastern     ,1-First JD,Physical Abuse,33,"(42.468832, -90.8824564)",1780,49,5,868
2017,19065,Fayette,2-Northern    ,1-First JD,Mental Injury,1,"(42.8625919, -91.8443207)",278,54,6,887
2017,19031,Cedar,3-Eastern     ,7-Seventh JD,Dangerous Substance,8,"(41.7723207, -91.1324125)",180,17,19,721
2017,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,9,"(41.0305845, -92.4094499)",301,363,30,799
2017,19127,Marshall,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),200,"(42.0358499, -92.9987706)",1831,277,21,89
2017,19089,Howard,2-Northern    ,1-First JD,Physical Abuse,1,"(43.3567673, -92.3171989)",1788,13,6,429
2017,19059,Dickinson,1-Western     ,3-Third JD,Physical Abuse,4,"(43.3779848, -95.1508301)",1779,419,37,660
2017,19017,Bremer,2-Northern    ,2-Second JD,Mental Injury,3,"(42.7745873, -92.3180548)",177,91,8,6
2017,19125,Marion,5-Des Moines  ,5-FifthJD,Allows Access by Registered Sex Offender,1,"(41.3344515, -93.0994367)",1830,355,29,916
2017,19057,Des Moines,3-Eastern     ,8-Eigth JD,Allows Access by Registered Sex Offender,7,"(40.9231829, -91.1814707)",1778,115,10,411
2017,19135,Monroe,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,2,"(41.0297826, -92.8689877)",292,359,30,556
2017,19045,Clinton,3-Eastern     ,7-Seventh JD,Denial of Critical Care (Neglect),319,"(41.8980358, -90.5319724)",1745,103,9,841
2017,19041,Clay,1-Western     ,3-Third JD,Physical Abuse,8,"(43.0825804, -95.1509194)",273,220,37,743
2017,19113,Linn,4-Cedar Rapids,6-SixthJD,Sexual Abuse,35,"(42.0789478, -91.5989646)",287,265,19,443
2017,19141,OBrien,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),74,"(43.0837527, -95.6248784)",293,427,37,211
2017,19041,Clay,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),109,"(43.0825804, -95.1509194)",273,220,37,743
2017,19131,Mitchell,2-Northern    ,2-Second JD,Physical Abuse,6,"(43.3564124, -92.7890315)",291,176,14,415
2017,19051,Davis,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,2,"(40.7476891, -92.4097173)",1747,370,31,149
2017,19051,Davis,4-Cedar Rapids,8-Eigth JD,Physical Abuse,2,"(40.7476891, -92.4097173)",1747,370,31,149
2017,19067,Floyd,2-Northern    ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),5,"(43.0599208, -92.7890033)",1781,202,15,27
2017,19003,Adams,5-Des Moines  ,5-FifthJD,Sexual Abuse,2,"(41.0289839, -94.6991849)",1364,475,48,1
2017,19149,Plymouth,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),5,"(42.7378346, -96.2140431)",1838,417,36,476
2017,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Physical Abuse,4,"(40.7431635, -92.8686104)",175,534,54,210
2017,19085,Harrison,1-Western     ,4-FourthJD,Mental Injury,3,"(41.6828528, -95.8169209)",1787,243,41,569
2017,19081,Hancock,2-Northern    ,2-Second JD,Physical Abuse,7,"(43.0818861, -93.7342723)",1785,18,20,897
2017,19163,Scott,3-Eastern     ,7-Seventh JD,Mental Injury,2,"(41.6370978, -90.6232428)",1881,100,9,99
2017,19029,Cass,1-Western     ,4-FourthJD,Dangerous Substance,13,"(41.3314876, -94.9278266)",1372,260,44,475
2017,19089,Howard,2-Northern    ,1-First JD,Presence of Illegal Drugs in Child's System (PID),1,"(43.3567673, -92.3171989)",1788,13,6,429
2017,19117,Lucas,5-Des Moines  ,5-FifthJD,Physical Abuse,4,"(41.0293738, -93.3277207)",288,354,29,446
2017,19193,Woodbury,1-Western     ,3-Third JD,Physical Abuse,60,"(42.3897169, -96.0447673)",1891,222,38,622
2017,19109,Kossuth,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),2,"(43.20413, -94.2067199)",1794,163,24,335
2017,19065,Fayette,2-Northern    ,1-First JD,Allows Access by Registered Sex Offender,3,"(42.8625919, -91.8443207)",278,54,6,887
2017,19173,Taylor,1-Western     ,5-FifthJD,Physical Abuse,2,"(40.7374324, -94.6964148)",1884,486,50,701
2017,19063,Emmet,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),116,"(43.3780225, -94.6784803)",277,298,23,659
2017,19105,Jones,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),62,"(42.1212397, -91.1314352)",286,74,7,333
2017,19139,Muscatine,3-Eastern     ,7-Seventh JD,Allows Access by Registered Sex Offender,9,"(41.4839221, -91.1127562)",1835,17,19,445
2017,19013,Black Hawk,2-Northern    ,1-First JD,Denial of Critical Care (Neglect),469,"(42.4700957, -92.3088197)",176,246,18,718
2017,19129,Mills,1-Western     ,4-FourthJD,Sexual Abuse,3,"(41.0334523, -95.6213267)",1832,442,43,816
2017,19175,Union,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),129,"(41.0277304, -94.2423792)",300,502,52,702
2017,19017,Bremer,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),32,"(42.7745873, -92.3180548)",177,91,8,6
2017,19155,Pottawattamie,1-Western     ,4-FourthJD,Allows Access by Registered Sex Offender,4,"(41.3366123, -95.5423935)",1879,442,43,604
2017,19105,Jones,4-Cedar Rapids,6-SixthJD,Physical Abuse,2,"(42.1212397, -91.1314352)",286,74,7,333
2017,19193,Woodbury,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),585,"(42.3897169, -96.0447673)",1891,222,38,622
2017,19021,Buena Vista,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),7,"(42.7354936, -95.151149)",178,323,27,15
2017,19161,Sac,1-Western     ,2-Second JD,Physical Abuse,2,"(42.3862604, -95.1053946)",1880,324,27,97
2017,19045,Clinton,3-Eastern     ,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),48,"(41.8980358, -90.5319724)",1745,103,9,841
2017,19029,Cass,1-Western     ,4-FourthJD,Physical Abuse,3,"(41.3314876, -94.9278266)",1372,260,44,475
