FIPS,Primary County Coordinates,County,City,Year,Estimate,FIPS.County.Code
1999990,"(42.7315661, -92.7901934)",Butler,Balance of Butler County,April 01 2010,5588,19999
1926940,"(42.3851848, -94.6404136)",Calhoun,Farnhamville (pt.),April 01 2010,371,19269
1939900,"(42.3851848, -94.6404136)",Calhoun,Jolley,April 01 2010,41,19399
1941790,"(42.3851848, -94.6404136)",Calhoun,Knierim,April 01 2010,60,19417
1942465,"(42.3851848, -94.6404136)",Calhoun,Lake City,April 01 2010,1727,19424
1946245,"(42.3851848, -94.6404136)",Calhoun,Lohrville,April 01 2010,368,19462
1947730,"(42.3851848, -94.6404136)",Calhoun,Lytton (pt.),April 01 2010,43,19477
1948990,"(42.3851848, -94.6404136)",Calhoun,Manson,April 01 2010,1690,19489
1964065,"(42.3851848, -94.6404136)",Calhoun,Pomeroy,April 01 2010,662,19640
1967125,"(42.3851848, -94.6404136)",Calhoun,Rinard,April 01 2010,52,19671
1968295,"(42.3851848, -94.6404136)",Calhoun,Rockwell City,April 01 2010,1709,19682
1973920,"(42.3851848, -94.6404136)",Calhoun,Somers,April 01 2010,113,19739
1987375,"(42.3851848, -94.6404136)",Calhoun,Yetter,April 01 2010,34,19873
1999990,"(42.3851848, -94.6404136)",Calhoun,Balance of Calhoun County,April 01 2010,2800,19999
1902485,"(42.0362382, -94.8605593)",Carroll,Arcadia,April 01 2010,484,19024
1908290,"(42.0362382, -94.8605593)",Carroll,Breda,April 01 2010,483,19082
1911080,"(42.0362382, -94.8605593)",Carroll,Carroll,April 01 2010,10103,19110
1916050,"(42.0362382, -94.8605593)",Carroll,Coon Rapids (pt.),April 01 2010,1305,19160
1919450,"(42.0362382, -94.8605593)",Carroll,Dedham,April 01 2010,266,19194
1931395,"(42.0362382, -94.8605593)",Carroll,Glidden,April 01 2010,1146,19313
1933645,"(42.0362382, -94.8605593)",Carroll,Halbur,April 01 2010,246,19336
1943140,"(42.0362382, -94.8605593)",Carroll,Lanesboro,April 01 2010,121,19431
1945030,"(42.0362382, -94.8605593)",Carroll,Lidderdale,April 01 2010,180,19450
1948945,"(42.0362382, -94.8605593)",Carroll,Manning,April 01 2010,1500,19489
1965505,"(42.0362382, -94.8605593)",Carroll,Ralston (pt.),April 01 2010,77,19655
1977340,"(42.0362382, -94.8605593)",Carroll,Templeton,April 01 2010,362,19773
1985710,"(42.0362382, -94.8605593)",Carroll,Willey,April 01 2010,88,19857
1999990,"(42.0362382, -94.8605593)",Carroll,Balance of Carroll County,April 01 2010,4455,19999
1902260,"(41.3314876, -94.9278266)",Cass,Anita,April 01 2010,972,19022
1903520,"(41.3314876, -94.9278266)",Cass,Atlantic,April 01 2010,7112,19035
1917760,"(41.3314876, -94.9278266)",Cass,Cumberland,April 01 2010,262,19177
1933150,"(41.3314876, -94.9278266)",Cass,Griswold,April 01 2010,1036,19331
1944805,"(41.3314876, -94.9278266)",Cass,Lewis,April 01 2010,433,19448
1949575,"(41.3314876, -94.9278266)",Cass,Marne,April 01 2010,120,19495
1950250,"(41.3314876, -94.9278266)",Cass,Massena,April 01 2010,355,19502
1986610,"(41.3314876, -94.9278266)",Cass,Wiota,April 01 2010,116,19866
1999990,"(41.3314876, -94.9278266)",Cass,Balance of Cass County,April 01 2010,3550,19999
1905770,"(41.7723207, -91.1324125)",Cedar,Bennett,April 01 2010,405,19057
1913530,"(41.7723207, -91.1324125)",Cedar,Clarence,April 01 2010,974,19135
1922980,"(41.7723207, -91.1324125)",Cedar,Durant (pt.),April 01 2010,1737,19229
1946920,"(41.7723207, -91.1324125)",Cedar,Lowden,April 01 2010,789,19469
1950700,"(41.7723207, -91.1324125)",Cedar,Mechanicsville,April 01 2010,1146,19507
1975045,"(41.7723207, -91.1324125)",Cedar,Stanwood,April 01 2010,684,19750
1978285,"(41.7723207, -91.1324125)",Cedar,Tipton,April 01 2010,3221,19782
1983595,"(41.7723207, -91.1324125)",Cedar,West Branch (pt.),April 01 2010,2227,19835
1986070,"(41.7723207, -91.1324125)",Cedar,Wilton (pt.),April 01 2010,5,19860
1999990,"(41.7723207, -91.1324125)",Cedar,Balance of Cedar County,April 01 2010,7311,19999
1914025,"(43.0815577, -93.2608184)",Cerro Gordo,Clear Lake,April 01 2010,7777,19140
1922080,"(43.0815577, -93.2608184)",Cerro Gordo,Dougherty,April 01 2010,58,19220
1950160,"(43.0815577, -93.2608184)",Cerro Gordo,Mason City,April 01 2010,28079,19501
1951420,"(43.0815577, -93.2608184)",Cerro Gordo,Meservey,April 01 2010,256,19514
1956910,"(43.0815577, -93.2608184)",Cerro Gordo,Nora Springs (pt.),April 01 2010,0,19569
1963885,"(43.0815577, -93.2608184)",Cerro Gordo,Plymouth,April 01 2010,382,19638
1968025,"(43.0815577, -93.2608184)",Cerro Gordo,Rock Falls,April 01 2010,155,19680
1968250,"(43.0815577, -93.2608184)",Cerro Gordo,Rockwell,April 01 2010,1039,19682
1976620,"(43.0815577, -93.2608184)",Cerro Gordo,Swaledale,April 01 2010,165,19766
1977880,"(43.0815577, -93.2608184)",Cerro Gordo,Thornton,April 01 2010,422,19778
1980580,"(43.0815577, -93.2608184)",Cerro Gordo,Ventura,April 01 2010,717,19805
1999990,"(43.0815577, -93.2608184)",Cerro Gordo,Balance of Cerro Gordo County,April 01 2010,5101,19999
1903745,"(42.7356226, -95.6238055)",Cherokee,Aurelia,April 01 2010,1036,19037
1913080,"(42.7356226, -95.6238055)",Cherokee,Cherokee,April 01 2010,5253,19130
1914115,"(42.7356226, -95.6238055)",Cherokee,Cleghorn,April 01 2010,240,19141
1943500,"(42.7356226, -95.6238055)",Cherokee,Larrabee,April 01 2010,132,19435
1949350,"(42.7356226, -95.6238055)",Cherokee,Marcus,April 01 2010,1117,19493
1951150,"(42.7356226, -95.6238055)",Cherokee,Meriden,April 01 2010,159,19511
1965280,"(42.7356226, -95.6238055)",Cherokee,Quimby,April 01 2010,319,19652
1982380,"(42.7356226, -95.6238055)",Cherokee,Washta,April 01 2010,248,19823
1999990,"(42.7356226, -95.6238055)",Cherokee,Balance of Cherokee County,April 01 2010,3568,19999
1901540,"(43.0600414, -92.3176637)",Chickasaw,Alta Vista,April 01 2010,266,19015
1904780,"(43.0600414, -92.3176637)",Chickasaw,Bassett,April 01 2010,66,19047
1928965,"(43.0600414, -92.3176637)",Chickasaw,Fredericksburg,April 01 2010,931,19289
1938460,"(43.0600414, -92.3176637)",Chickasaw,Ionia,April 01 2010,291,19384
1943815,"(43.0600414, -92.3176637)",Chickasaw,Lawler,April 01 2010,439,19438
1955335,"(43.0600414, -92.3176637)",Chickasaw,Nashua (pt.),April 01 2010,1661,19553
1956100,"(43.0600414, -92.3176637)",Chickasaw,New Hampton,April 01 2010,3571,19561
1957495,"(43.0600414, -92.3176637)",Chickasaw,North Washington,April 01 2010,117,19574
1965010,"(43.0600414, -92.3176637)",Chickasaw,Protivin (pt.),April 01 2010,21,19650
1999990,"(43.0600414, -92.3176637)",Chickasaw,Balance of Chickasaw County,April 01 2010,5076,19999
1955065,"(41.0290323, -93.7851579)",Clarke,Murray,April 01 2010,756,19550
1959835,"(41.0290323, -93.7851579)",Clarke,Osceola,April 01 2010,4929,19598
1986880,"(41.0290323, -93.7851579)",Clarke,Woodburn,April 01 2010,202,19868
1999990,"(41.0290323, -93.7851579)",Clarke,Balance of Clarke County,April 01 2010,3399,19999
1921360,"(43.0825804, -95.1509194)",Clay,Dickens,April 01 2010,185,19213
1926175,"(43.0825804, -95.1509194)",Clay,Everly,April 01 2010,603,19261
1928650,"(43.0825804, -95.1509194)",Clay,Fostoria,April 01 2010,231,19286
1930810,"(43.0825804, -95.1509194)",Clay,Gillett Grove,April 01 2010,49,19308
1932970,"(43.0825804, -95.1509194)",Clay,Greenville,April 01 2010,75,19329
1962625,"(43.0825804, -95.1509194)",Clay,Peterson,April 01 2010,334,19626
1968925,"(43.0825804, -95.1509194)",Clay,Rossie,April 01 2010,70,19689
1969105,"(43.0825804, -95.1509194)",Clay,Royal,April 01 2010,446,19691
1974280,"(43.0825804, -95.1509194)",Clay,Spencer,April 01 2010,11233,19742
1983010,"(43.0825804, -95.1509194)",Clay,Webb,April 01 2010,141,19830
1999990,"(43.0825804, -95.1509194)",Clay,Balance of Clay County,April 01 2010,3300,19999
1913845,"(42.8447493, -91.3414328)",Clayton,Clayton,April 01 2010,43,19138
1924060,"(42.8447493, -91.3414328)",Clayton,Edgewood (pt.),April 01 2010,280,19240
1924690,"(42.8447493, -91.3414328)",Clayton,Elkader,April 01 2010,1273,19246
1924825,"(42.8447493, -91.3414328)",Clayton,Elkport,April 01 2010,37,19248
1926850,"(42.8447493, -91.3414328)",Clayton,Farmersburg,April 01 2010,302,19268
1929685,"(42.8447493, -91.3414328)",Clayton,Garber,April 01 2010,88,19296
1929910,"(42.8447493, -91.3414328)",Clayton,Garnavillo,April 01 2010,745,19299
1933465,"(42.8447493, -91.3414328)",Clayton,Guttenberg,April 01 2010,1919,19334
1947055,"(42.8447493, -91.3414328)",Clayton,Luana,April 01 2010,269,19470
1948000,"(42.8447493, -91.3414328)",Clayton,McGregor,April 01 2010,871,19480
1949620,"(42.8447493, -91.3414328)",Clayton,Marquette,April 01 2010,375,19496
1953310,"(42.8447493, -91.3414328)",Clayton,Monona,April 01 2010,1549,19533
1957135,"(42.8447493, -91.3414328)",Clayton,North Buena Vista,April 01 2010,121,19571
1960015,"(42.8447493, -91.3414328)",Clayton,Osterdock,April 01 2010,59,19600
1964290,"(42.8447493, -91.3414328)",Clayton,Postville (pt.),April 01 2010,280,19642
1970140,"(42.8447493, -91.3414328)",Clayton,St. Olaf,April 01 2010,108,19701
1975855,"(42.8447493, -91.3414328)",Clayton,Strawberry Point,April 01 2010,1279,19758
1981345,"(42.8447493, -91.3414328)",Clayton,Volga,April 01 2010,208,19813
1999990,"(42.8447493, -91.3414328)",Clayton,Balance of Clayton County,April 01 2010,8293,19999
1902080,"(42.8447493, -90.5319724)",Clinton,Andover,April 01 2010,103,19020
1909820,"(41.8980358, -90.5319724)",Clinton,Calamus,April 01 2010,439,19098
1910135,"(41.8980358, -90.5319724)",Clinton,Camanche,April 01 2010,4448,19101
1912855,"(41.8980358, -90.5319724)",Clinton,Charlotte,April 01 2010,394,19128
1914430,"(41.8980358, -90.5319724)",Clinton,Clinton,April 01 2010,26885,19144
1919720,"(41.8980358, -90.5319724)",Clinton,Delmar,April 01 2010,525,19197
1921180,"(41.8980358, -90.5319724)",Clinton,De Witt,April 01 2010,5322,19211
1931665,"(41.8980358, -90.5319724)",Clinton,Goose Lake,April 01 2010,240,19316
1932025,"(41.8980358, -90.5319724)",Clinton,Grand Mound,April 01 2010,642,19320
1946605,"(41.8980358, -90.5319724)",Clinton,Lost Nation,April 01 2010,446,19466
1947010,"(41.8980358, -90.5319724)",Clinton,Low Moor,April 01 2010,288,19470
1949215,"(41.8980358, -90.5319724)",Clinton,Maquoketa (pt.),April 01 2010,2,19492
1978600,"(41.8980358, -90.5319724)",Clinton,Toronto,April 01 2010,124,19786
1983370,"(41.8980358, -90.5319724)",Clinton,Welton,April 01 2010,165,19833
1984945,"(41.8980358, -90.5319724)",Clinton,Wheatland,April 01 2010,764,19849
1999990,"(41.8980358, -90.5319724)",Clinton,Balance of Clinton County,April 01 2010,8329,19999
1902755,"(41.8980358, -95.3819678)",Crawford,Arion,April 01 2010,108,19027
1903340,"(42.0372125, -95.3819678)",Crawford,Aspinwall,April 01 2010,40,19033
1909145,"(42.0372125, -95.3819678)",Crawford,Buck Grove,April 01 2010,43,19091
1912900,"(42.0372125, -95.3819678)",Crawford,Charter Oak,April 01 2010,502,19129
1919765,"(42.0372125, -95.3819678)",Crawford,Deloit,April 01 2010,264,19197
1919945,"(42.0372125, -95.3819678)",Crawford,Denison,April 01 2010,8298,19199
1922215,"(42.0372125, -95.3819678)",Crawford,Dow City,April 01 2010,510,19222
1922890,"(42.0372125, -95.3819678)",Crawford,Dunlap (pt.),April 01 2010,0,19228
1941610,"(42.0372125, -95.3819678)",Crawford,Kiron,April 01 2010,279,19416
1948855,"(42.0372125, -95.3819678)",Crawford,Manilla,April 01 2010,776,19488
1966855,"(42.0372125, -95.3819678)",Crawford,Ricketts,April 01 2010,145,19668
1971130,"(42.0372125, -95.3819678)",Crawford,Schleswig,April 01 2010,882,19711
1980130,"(42.0372125, -95.3819678)",Crawford,Vail,April 01 2010,436,19801
1984630,"(42.0372125, -95.3819678)",Crawford,Westside,April 01 2010,299,19846
1999990,"(42.0372125, -95.3819678)",Crawford,Balance of Crawford County,April 01 2010,4514,19999
1900505,"(42.0372125, -94.0397374)",Dallas,Adel,April 01 2010,3682,19005
1907660,"(41.6848862, -94.0397374)",Dallas,Bouton,April 01 2010,129,19076
1914520,"(41.6848862, -94.0397374)",Dallas,Clive (pt.),April 01 2010,4717,19145
1918255,"(41.6848862, -94.0397374)",Dallas,Dallas Center,April 01 2010,1623,19182
1919135,"(41.6848862, -94.0397374)",Dallas,Dawson,April 01 2010,131,19191
1921045,"(41.6848862, -94.0397374)",Dallas,De Soto,April 01 2010,1050,19210
1921225,"(41.6848862, -94.0397374)",Dallas,Dexter,April 01 2010,611,19212
1932160,"(41.6848862, -94.0397374)",Dallas,Granger (pt.),April 01 2010,1032,19321
1933060,"(41.6848862, -94.0397374)",Dallas,Grimes (pt.),April 01 2010,14,19330
1945390,"(41.6848862, -94.0397374)",Dallas,Linden,April 01 2010,199,19453
1952545,"(41.6848862, -94.0397374)",Dallas,Minburn,April 01 2010,365,19525
1962355,"(41.6848862, -94.0397374)",Dallas,Perry,April 01 2010,7702,19623
1966045,"(41.6848862, -94.0397374)",Dallas,Redfield,April 01 2010,835,19660
1979950,"(41.6848862, -94.0397374)",Dallas,Urbandale (pt.),April 01 2010,6337,19799
1980445,"(41.6848862, -94.0397374)",Dallas,Van Meter,April 01 2010,1016,19804
1982695,"(41.6848862, -94.0397374)",Dallas,Waukee,April 01 2010,13790,19826
1983910,"(41.6848862, -94.0397374)",Dallas,West Des Moines (pt.),April 01 2010,11569,19839
1986970,"(41.6848862, -94.0397374)",Dallas,Woodward (pt.),April 01 2010,1024,19869
1999990,"(41.6848862, -94.0397374)",Dallas,Balance of Dallas County,April 01 2010,10309,19999
1907030,"(41.6848862, -92.4097173)",Davis,Bloomfield,April 01 2010,2640,19070
1922350,"(40.7476891, -92.4097173)",Davis,Drakesville,April 01 2010,184,19223
1927975,"(40.7476891, -92.4097173)",Davis,Floris,April 01 2010,138,19279
1965055,"(40.7476891, -92.4097173)",Davis,Pulaski,April 01 2010,260,19650
1999990,"(40.7476891, -92.4097173)",Davis,Balance of Davis County,April 01 2010,5531,19999
1919090,"(40.7476891, -93.7862815)",Decatur,Davis City,April 01 2010,204,19190
1919360,"(40.7376827, -93.7862815)",Decatur,Decatur City,April 01 2010,197,19193
1929775,"(40.7376827, -93.7862815)",Decatur,Garden Grove,April 01 2010,211,19297
1932070,"(40.7376827, -93.7862815)",Decatur,Grand River,April 01 2010,236,19320
1942960,"(40.7376827, -93.7862815)",Decatur,Lamoni,April 01 2010,2324,19429
1944535,"(40.7376827, -93.7862815)",Decatur,Leon,April 01 2010,1977,19445
1944580,"(40.7376827, -93.7862815)",Decatur,Le Roy,April 01 2010,15,19445
1963570,"(40.7376827, -93.7862815)",Decatur,Pleasanton,April 01 2010,49,19635
1980490,"(40.7376827, -93.7862815)",Decatur,Van Wert,April 01 2010,230,19804
1983190,"(40.7376827, -93.7862815)",Decatur,Weldon,April 01 2010,125,19831
1999990,"(40.7376827, -93.7862815)",Decatur,Balance of Decatur County,April 01 2010,2889,19999
1915015,"(40.7376827, -91.3673502)",Delaware,Colesburg,April 01 2010,404,19150
1919630,"(42.471211, -91.3673502)",Delaware,Delaware,April 01 2010,159,19196
1919675,"(42.471211, -91.3673502)",Delaware,Delhi,April 01 2010,460,19196
1922800,"(42.471211, -91.3673502)",Delaware,Dundee,April 01 2010,174,19228
1923115,"(42.471211, -91.3673502)",Delaware,Dyersville (pt.),April 01 2010,179,19231
1923430,"(42.471211, -91.3673502)",Delaware,Earlville,April 01 2010,812,19234
1924060,"(42.471211, -91.3673502)",Delaware,Edgewood (pt.),April 01 2010,584,19240
1932610,"(42.471211, -91.3673502)",Delaware,Greeley,April 01 2010,256,19326
1937155,"(42.471211, -91.3673502)",Delaware,Hopkinton,April 01 2010,628,19371
1948810,"(42.471211, -91.3673502)",Delaware,Manchester,April 01 2010,5179,19488
1950205,"(42.471211, -91.3673502)",Delaware,Masonville,April 01 2010,127,19502
1969465,"(42.471211, -91.3673502)",Delaware,Ryan,April 01 2010,361,19694
1999990,"(42.471211, -91.3673502)",Delaware,Balance of Delaware County,April 01 2010,8441,19999
1909550,"(42.471211, -91.1814707)",Des Moines,Burlington,April 01 2010,25663,19095
1918435,"(40.9231829, -91.1814707)",Des Moines,Danville,April 01 2010,934,19184
1950790,"(40.9231829, -91.1814707)",Des Moines,Mediapolis,April 01 2010,1560,19507
1951735,"(40.9231829, -91.1814707)",Des Moines,Middletown,April 01 2010,318,19517
1983685,"(40.9231829, -91.1814707)",Des Moines,West Burlington,April 01 2010,2968,19836
1999990,"(40.9231829, -91.1814707)",Des Moines,Balance of Des Moines County,April 01 2010,8882,19999
